"Geo Level","State","State ANSI","Measure","Bearing_type","Domain","size_bracket","Value","CV (%)"
"NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(100 OR MORE ACRES)","17","27.9"
"NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","43","19.0"
"NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","22","40.9"
"NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","200","8.2"
"NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","16","72.6"
"NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","2,130","8.4"
"STATE","ALABAMA","01","ACRES","BEARING","TOTAL","TOTAL","162","16.9"
"STATE","ALABAMA","01","ACRES","GROWN","TOTAL","TOTAL","171","17.5"
"STATE","ALABAMA","01","ACRES","NON-BEARING","TOTAL","TOTAL","9","80.0"
"STATE","ALABAMA","01","OPERATIONS","AREA BEARING","TOTAL","TOTAL","107","19.7"
"STATE","ALABAMA","01","OPERATIONS","AREA GROWN","TOTAL","TOTAL","119","17.5"
"STATE","ALABAMA","01","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","18","26.9"
"STATE","ALASKA","02","ACRES","BEARING","TOTAL","TOTAL","11","(L)"
"STATE","ALASKA","02","ACRES","GROWN","TOTAL","TOTAL","14","(L)"
"STATE","ALASKA","02","ACRES","NON-BEARING","TOTAL","TOTAL","3","(L)"
"STATE","ALASKA","02","OPERATIONS","AREA BEARING","TOTAL","TOTAL","45","(L)"
"STATE","ALASKA","02","OPERATIONS","AREA GROWN","TOTAL","TOTAL","50","(L)"
"STATE","ALASKA","02","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","8","(L)"
"STATE","ARIZONA","04","ACRES","BEARING","TOTAL","TOTAL","3","29.4"
"STATE","ARIZONA","04","ACRES","GROWN","TOTAL","TOTAL","4","33.8"
"STATE","ARIZONA","04","ACRES","NON-BEARING","TOTAL","TOTAL","1","93.3"
"STATE","ARIZONA","04","OPERATIONS","AREA BEARING","TOTAL","TOTAL","16","25.8"
"STATE","ARIZONA","04","OPERATIONS","AREA GROWN","TOTAL","TOTAL","24","15.8"
"STATE","ARIZONA","04","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","9","38.0"
"STATE","ARKANSAS","05","ACRES","BEARING","TOTAL","TOTAL","116","33.4"
"STATE","ARKANSAS","05","ACRES","GROWN","TOTAL","TOTAL","128","33.0"
"STATE","ARKANSAS","05","ACRES","NON-BEARING","TOTAL","TOTAL","12","42.1"
"STATE","ARKANSAS","05","OPERATIONS","AREA BEARING","TOTAL","TOTAL","71","36.0"
"STATE","ARKANSAS","05","OPERATIONS","AREA GROWN","TOTAL","TOTAL","80","35.7"
"STATE","ARKANSAS","05","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","24","34.2"
"STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","(D)","(D)"
"STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","138","(H)"
"STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(100 OR MORE ACRES)","35,019","32.5"
"STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","(D)","(D)"
"STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","1,699","31.0"
"STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","370","31.6"
"STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","8,154","68.4"
"STATE","CALIFORNIA","06","ACRES","BEARING","TOTAL","TOTAL","46,093","21.8"
"STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","46","45.6"
"STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","165","91.9"
"STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(100 OR MORE ACRES)","35,457","32.1"
"STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","676","42.5"
"STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","1,736","30.8"
"STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","409","31.8"
"STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)","8,323","65.6"
"STATE","CALIFORNIA","06","ACRES","GROWN","TOTAL","TOTAL","46,813","21.9"
"STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","(D)","(D)"
"STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","27","23.5"
"STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(100 OR MORE ACRES)","438","6.4"
"STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","(D)","(D)"
"STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","38","83.7"
"STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","40","52.1"
"STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","169","(H)"
"STATE","CALIFORNIA","06","ACRES","NON-BEARING","TOTAL","TOTAL","720","50.2"
"STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","189","39.6"
"STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","74","98.6"
"STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(100 OR MORE ACRES)","114","34.3"
"STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","36","43.5"
"STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","47","27.1"
"STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","52","29.4"
"STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","114","63.8"
"STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","TOTAL","TOTAL","626","26.9"
"STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","212","42.6"
"STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","76","93.5"
"STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)","114","34.3"
"STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","36","43.5"
"STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","47","27.1"
"STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","52","29.4"
"STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)","114","63.8"
"STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","TOTAL","TOTAL","651","27.8"
"STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","32","92.0"
"STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","22","39.5"
"STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(100 OR MORE ACRES)","10","47.4"
"STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","1","(H)"
"STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","3","83.7"
"STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","9","68.3"
"STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","8","77.8"
"STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","85","58.8"
"STATE","COLORADO","08","ACRES","BEARING","TOTAL","TOTAL","10","73.5"
"STATE","COLORADO","08","ACRES","GROWN","TOTAL","TOTAL","30","47.0"
"STATE","COLORADO","08","ACRES","NON-BEARING","TOTAL","TOTAL","20","59.7"
"STATE","COLORADO","08","OPERATIONS","AREA BEARING","TOTAL","TOTAL","39","18.2"
"STATE","COLORADO","08","OPERATIONS","AREA GROWN","TOTAL","TOTAL","64","18.8"
"STATE","COLORADO","08","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","27","26.5"
"STATE","CONNECTICUT","09","ACRES","BEARING","TOTAL","TOTAL","119","22.7"
"STATE","CONNECTICUT","09","ACRES","GROWN","TOTAL","TOTAL","156","18.6"
"STATE","CONNECTICUT","09","ACRES","NON-BEARING","TOTAL","TOTAL","37","8.6"
"STATE","CONNECTICUT","09","OPERATIONS","AREA BEARING","TOTAL","TOTAL","97","17.2"
"STATE","CONNECTICUT","09","OPERATIONS","AREA GROWN","TOTAL","TOTAL","128","15.9"
"STATE","CONNECTICUT","09","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","44","19.4"
"STATE","DELAWARE","10","ACRES","BEARING","TOTAL","TOTAL","(D)","(D)"
"STATE","DELAWARE","10","ACRES","GROWN","TOTAL","TOTAL","27","5.3"
"STATE","DELAWARE","10","ACRES","NON-BEARING","TOTAL","TOTAL","(D)","(D)"
"STATE","DELAWARE","10","OPERATIONS","AREA BEARING","TOTAL","TOTAL","14","46.0"
"STATE","DELAWARE","10","OPERATIONS","AREA GROWN","TOTAL","TOTAL","16","40.2"
"STATE","DELAWARE","10","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","5","37.9"
"STATE","FLORIDA","12","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","8","76.1"
"STATE","FLORIDA","12","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","(D)","(D)"
